Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Arrays/Partition/Vector-fused/1000,2.8284062195831823e-6,2.7620627559222015e-6,3.024059194817461e-6,3.155114777787125e-7,1.5908142918345173e-7,6.200602925948626e-7
Arrays/Partition/Vector-fused/10000,2.9545487846774448e-5,2.8490481132299586e-5,3.1243823088449894e-5,4.433741051675389e-6,3.2690444598651438e-6,6.634337820270934e-6
Arrays/Partition/Vector-fused/100000,3.0185594051919515e-4,2.890150803036987e-4,3.189426724134773e-4,5.4941179901842096e-5,4.551715743337041e-5,6.633678454041286e-5
Arrays/Partition/Vector-fused/1000000,4.650425330041473e-3,4.352710305434467e-3,5.102956878461414e-3,1.1822168548816534e-3,8.604134930177371e-4,1.6958901219994195e-3
Arrays/Partition/Vector-fused/10000000,5.1952022295835475e-2,4.836746605274115e-2,5.8447127165355654e-2,8.269314495720987e-3,4.665384400396342e-3,1.0954303526339691e-2
Arrays/Partition/Vector-fused/100000000,0.4879383863218351,0.4727129554840605,0.4991309524903002,1.700583107790291e-2,0.0,1.9386093270858086e-2
Arrays/Partition/Vector-unfused/100,5.712969649163513e-7,5.50101997689475e-7,5.944329859480427e-7,6.784265865860745e-8,5.765217586157687e-8,8.048166202345799e-8
Arrays/Partition/Vector-unfused/1000,5.08178602509148e-6,4.797894807291039e-6,5.414988304709171e-6,9.704103999473206e-7,8.133783856046273e-7,1.1600165518178278e-6
Arrays/Partition/Vector-unfused/10000,4.7315255613846045e-5,4.501058356716416e-5,5.049862265141291e-5,8.938406124829557e-6,6.98922438017116e-6,1.1666288662062706e-5
Arrays/Partition/Vector-unfused/100000,4.746743339294013e-4,4.5011833910935404e-4,5.055340116318867e-4,9.680997167422138e-5,8.167985943892685e-5,1.2195610378453414e-4
Arrays/Partition/Vector-unfused/1000000,6.519353339692388e-3,6.246266264759974e-3,6.83491992706465e-3,8.660503917213e-4,6.895105597239815e-4,1.224563285198896e-3
Arrays/Partition/Vector-unfused/10000000,5.361959564591299e-2,5.1784956269906146e-2,5.56619263211911e-2,3.8717162989108742e-3,2.8032780268753017e-3,5.311890479177621e-3
Arrays/Partition/Vector-unfused/100000000,0.571387252321836,0.5283825554839343,0.5953802043245475,3.798527238934645e-2,0.0,4.1557011892257814e-2
Arrays/MapPartition/Folderol/100,4.090560379916921e-7,3.952964026304016e-7,4.2374763883111167e-7,4.5296553198613144e-8,3.661329243013473e-8,5.544869592222192e-8
Arrays/MapPartition/Folderol/1000,3.333846743031657e-6,3.189251673076672e-6,3.544740175868519e-6,5.580596769741708e-7,4.366136796037124e-7,7.23987453986601e-7
Arrays/MapPartition/Folderol/10000,3.0191630339697752e-5,2.8916599915217325e-5,3.1758479069284165e-5,4.819334755539775e-6,3.914677288666004e-6,5.901001865058773e-6
Arrays/MapPartition/Folderol/100000,5.806890348062465e-4,5.572934218219295e-4,6.146508224344861e-4,9.644012170047097e-5,7.953887220632348e-5,1.2429232846177963e-4
Arrays/MapPartition/Folderol/1000000,6.555402291076868e-3,6.322470089991822e-3,6.796282604899877e-3,7.032401062458578e-4,5.545851907197384e-4,9.682913870080655e-4
Arrays/MapPartition/Folderol/10000000,6.048846711698394e-2,5.509017744798868e-2,6.351813796523309e-2,7.009720094734032e-3,3.3488010845116284e-3,1.1070294784248303e-2
Arrays/MapPartition/Folderol/100000000,0.5007747617940964,0.446745648484087,0.5347386691847338,5.122499482304435e-2,0.0,5.882721322414799e-2
Arrays/MapPartition/Vector-fused/100,4.2503929076564183e-7,4.1094665831406733e-7,4.4341100254028426e-7,5.284445316971276e-8,3.74115687571473e-8,8.00485893057852e-8
Arrays/MapPartition/Vector-fused/1000,3.2669744153435704e-6,3.136512128391241e-6,3.427319110594549e-6,4.5489850528266824e-7,3.5572329320834156e-7,5.835138379248469e-7
Arrays/MapPartition/Vector-fused/10000,3.265935198768832e-5,3.129607096037135e-5,3.424462485455693e-5,4.617787375334365e-6,3.6127020866726207e-6,5.873838809721454e-6
Arrays/MapPartition/Vector-fused/100000,3.216688941374232e-4,3.0886329514937373e-4,3.400334570833153e-4,4.848297922911163e-5,3.961631040636891e-5,6.39603072530353e-5
Arrays/MapPartition/Vector-fused/1000000,4.456731072140224e-3,4.2800655178231286e-3,4.808122024956823e-3,7.584387680458281e-4,4.617838499769261e-4,1.3564544785835406e-3
Arrays/MapPartition/Vector-fused/10000000,4.657638341554866e-2,4.468946772462406e-2,4.8996741625169093e-2,4.117194199374231e-3,2.761916017885365e-3,5.438275906778063e-3
Arrays/MapPartition/Vector-fused/100000000,0.44740498451630234,0.44108455824202036,0.4537081067637363,1.090237314975667e-2,0.0,1.0917327978873277e-2
Arrays/MapPartition/Vector-unfused/100,7.691863231832527e-7,7.3068340581951e-7,8.360779837346789e-7,1.5786162973166904e-7,1.0496719240466373e-7,2.383136995241601e-7
Arrays/MapPartition/Vector-unfused/1000,6.361978113877915e-6,6.151699705386746e-6,6.65803327285115e-6,7.865899195977562e-7,6.31603597507318e-7,1.217031193358969e-6
Arrays/MapPartition/Vector-unfused/10000,6.580046849172422e-5,6.281915009770137e-5,6.956810616781676e-5,1.0600395929729073e-5,8.729947550126074e-6,1.3308005719977128e-5
Arrays/MapPartition/Vector-unfused/100000,9.765377941213426e-4,9.244636548616057e-4,1.0867092511700725e-3,2.613818638821927e-4,1.8588101275659102e-4,3.719339658222167e-4
Arrays/MapPartition/Vector-unfused/1000000,1.0688165545072412e-2,1.0408969665721508e-2,1.0992670563811773e-2,7.618553158868533e-4,6.39336731751672e-4,9.245421857792072e-4
